================================================================================
N-BODY SIMULATION RESULTS
Simulation Type: CUDA
Date: 2025-12-27 01:50:04
================================================================================

PERFORMANCE METRICS
--------------------------------------------------------------------------------
Number of bodies: 1000
Number of steps: 100
Total execution time: 0.3490 seconds
Average time per step: 0.0034 seconds
Min time per step: 0.0020 seconds
Max time per step: 0.0050 seconds
Throughput: 286532.95 body-steps/second

================================================================================

BODY INFORMATION
--------------------------------------------------------------------------------
Index    X            Y            Z            VX           VY           VZ           Mass      
--------------------------------------------------------------------------------
0        -8.6137      -8.5231      1.0267       2.4388       2.5239       0.2768       0.3202    
1        -4.4181      -0.5467      -7.4153      2.1164       -0.8728      3.1263       0.2950    
2        -7.0843      3.4901       2.7214       3.2966       -1.4329      -0.4890      0.3446    
3        2.9827       9.8279       5.6041       -12.0226     7.5397       0.9936       0.2673    
4        -8.6403      -12.6694     9.6797       -2.3951      -13.1161     4.1166       0.3172    
5        7.7151       -2.8124      7.3839       -2.6393      0.1634       -2.2420      0.9219    
6        6.4286       -0.3910      -6.0629      0.3927       -1.0447      3.8182       0.7574    
7        -0.9975      -5.3945      2.2671       -0.0540      1.4138       -1.1164      0.9158    
8        4.4959       -0.0874      -2.6908      -1.3249      -0.4326      -0.0751      0.7740    
9        8.3110       -4.0212      -7.5132      -2.6200      0.9301       2.1155       0.1301    
10       0.8644       7.6184       0.0194       1.6710       -2.9784      -0.8230      0.8171    
11       -0.0916      -3.3873      -7.7014      -3.6926      5.3762       3.9281       0.2501    
12       4.2067       7.7001       5.9226       -1.4580      -2.2843      -2.4889      0.1232    
13       5.7216       0.1553       -7.7148      -1.0119      -0.4870      3.4120       0.8462    
14       21.5007      -19.4293     -5.6703      16.1248      -14.8369     -17.8476     0.6015    
15       1.6298       -4.4276      0.1765       1.0347       8.2149       -0.6760      0.7756    
16       -8.2082      7.7690       6.9414       1.7685       -1.5374      -1.6245      0.1862    
17       3.3776       5.5020       0.8163       -1.2030      -1.7979      -0.7186      0.2070    
18       -6.2826      4.5774       -1.6680      2.6264       -1.1523      0.4141       0.2471    
19       4.6383       2.9877       3.6165       -1.9859      -1.2098      -0.7194      0.9682    
20       0.3084       -5.1947      -7.6755      -0.0404      1.5360       3.9234       0.7335    
21       -5.5369      4.2565       7.8313       1.8023       -0.5903      -2.7494      0.2997    
22       -7.5389      -0.9326      -7.8282      3.0339       0.3432       4.1233       0.6313    
23       -3.2147      -7.5930      2.9170       1.5254       2.6955       -2.7000      0.2137    
24       -4.5455      8.1279       -2.5820      2.1734       2.3919       1.3398       0.8537    
25       6.8400       -7.7182      -6.7820      -1.9476      2.0819       0.8241       0.4876    
26       1.7416       4.4046       -7.1522      -0.6975      -1.1650      2.8089       0.2744    
27       -1.9183      11.9625      -3.4687      9.6408       5.9129       -0.7522      0.1134    
28       -10.4349     -0.6534      9.8608       -4.3323      11.3843      7.1326       0.4650    
