================================================================================
N-BODY SIMULATION RESULTS
Simulation Type: Threaded
Date: 2025-12-27 01:08:28
================================================================================

PERFORMANCE METRICS
--------------------------------------------------------------------------------
Number of bodies: 1000
Number of steps: 100
Total execution time: 194.0335 seconds
Average time per step: 1.9403 seconds
Min time per step: 1.5432 seconds
Max time per step: 2.2714 seconds
Throughput: 515.37 body-steps/second

================================================================================

BODY INFORMATION
--------------------------------------------------------------------------------
Index    X            Y            Z            VX           VY           VZ           Mass      
--------------------------------------------------------------------------------
0        -2.2446      7.7525       3.6998       0.4893       -2.6068      -1.8587      0.1523    
1        6.3606       2.0169       3.4158       -1.8384      -0.1880      -1.6783      0.2911    
2        -5.4811      -4.9950      -3.6570      1.7821       3.0861       0.7102       0.6507    
3        -6.2069      -3.8388      -3.0375      2.5258       2.7991       0.7703       0.5628    
4        -0.6300      -7.8114      4.1287       -13.0407     0.8714       14.6585      0.9691    
5        5.5970       -5.2971      -2.0533      -1.3760      -1.7073      10.7227      0.5457    
6        -8.1495      7.3591       -4.3082      2.2882       -1.6325      1.0347       0.5920    
7        -4.8685      7.4858       5.4338       5.4181       -6.7259      1.2001       0.9297    
8        -11.5085     -6.5860      -11.1584     -4.6856      -0.5606      -2.8768      0.8459    
9        -2.3469      -3.2547      0.7322       1.2819       2.4201       -0.1362      0.9882    
10       4.9938       -5.1940      -8.4174      -1.0279      1.6484       2.8579       0.7941    
11       -7.4819      -2.3547      -6.5942      2.0251       0.9981       2.3102       0.1572    
12       20.6778      -87.3614     11.5133      32.2918      -110.2916    9.4993       0.2076    
13       4.1678       5.2064       0.5584       1.3068       -1.5766      -1.2960      0.4848    
14       -8.4319      -7.1405      -8.6235      2.0077       1.3744       1.5063       0.9168    
15       -4.1512      -1.8699      4.4453       1.7989       -0.0747      -1.0860      0.2451    
16       7.3615       5.2810       2.5064       -2.4294      -1.5592      -0.4860      0.9033    
17       0.5156       5.6417       6.4738       -0.6327      -0.9144      -2.8445      0.4844    
18       5.9460       6.5572       -8.8276      -0.8474      -1.3068      2.1410       0.2079    
19       -23.6657     19.9802      33.1694      -115.3724    66.9356      204.6251     0.9746    
20       7.7909       -4.2675      -0.3006      -2.9456      1.4927       -0.4369      0.6486    
21       -0.0774      -7.5272      -4.1779      -0.3338      3.0881       0.5562       0.5405    
22       8.4591       -4.7563      3.1926       -2.5791      0.8822       -0.5940      0.4310    
23       1.9088       2.6019       0.3491       -1.4696      -0.1730      -0.6466      0.2679    
24       -11.6089     -2.6953      3.2334       -3.6059      -7.3962      -0.6744      0.6807    
25       -5.0220      2.8820       -1.9212      2.7630       2.6643       -1.9598      0.2021    
26       7.5155       6.6059       -4.1914      -2.0528      -1.9455      1.3452       0.5767    
27       -4.6408      -7.1376      6.7962       0.9702       2.0224       -2.3231      0.4143    
28       4.1610       7.4177       7.2300       -0.7794      -1.0473      -0.8334      0.2455    
29       7.0500       1.9337       -8.4936      -1.7664      -0.4748      2.7383       0.2447    
30       1.2400       2.8052       2.1102       1.3182       -1.9318      -3.0399      0.3929    
31       4.2939       2.5710       6.1157       -1.3589      -0.8706      -1.6578      0.4309    
32       -4.2650      -4.5821      8.1404       0.9004       1.0275       -2.7315      0.8153    
33       -0.3268      1.8307       0.1405       -0.9800      0.6429       0.7333       0.1219    
34       3.0597       -5.8767      7.3667       0.3047       1.0927       -2.9635      0.1139    
35       7.3743       -1.5135      8.0009       -2.8636      -0.3102      -2.6259      0.4466    
36       4.6129       -2.2964      -4.7254      -3.6771      2.0307       3.5336       0.6131    
37       -7.3389      1.8848       8.5904       1.4894       -0.9197      -2.6273      0.7667    
38       3.1339       3.1996       -2.1051      -1.2962      -1.5323      1.3620       0.8804    
39       6.2196       0.4433       0.0216       -6.0487      -0.7836      2.3295       0.8162    
40       6.4736       -3.0221      -2.3742      -2.5997      0.3138       0.5996       0.5190    
41       0.7154       -3.4303      1.7118       -0.2226      1.8407       -0.2436      0.4242    
42       -6.6071      0.1783       4.5006       1.8349       -0.6281      -1.7579      0.1465    
43       0.1352       -11.0338     0.3469       -1.5568      -23.3069     -5.0167      0.3907    
44       5.6803       -3.6369      -1.5523      -2.7206      3.8780       0.0573       0.8524    
45       4.7269       -1.4606      -7.1922      2.0433       0.7508       -1.3820      0.7431    
46       1.2815       -5.5059      7.0826       -1.8943      0.1613       -2.4914      0.4776    
47       -4.4016      -2.5884      4.4665       1.3595       0.7454       -1.1821      0.1367    
48       7.9957       6.2098       3.6771       -0.3151      1.3186       4.9713       0.2559    
49       -0.9761      -0.8253      1.6394       -0.7878      0.8959       1.0592       0.6633    
50       0.2272       5.7657       2.7174       0.4906       -2.6906      -0.9263      0.1239    
51       -0.7447      1.7444       -3.2033      -6.0509      -15.6416     -10.7989     0.5911    
52       7.6381       -2.0215      8.0190       -2.6627      0.7489       -2.4320      0.1907    
53       -8.4665      -7.3500      3.7616       2.4353       1.6510       0.1374       0.1209    
54       5.6043       -2.5020      -9.6129      -1.3142      3.1775       -3.1406      0.7616    
55       5.8030       -3.2581      -5.7932      -0.8513      2.3478       1.5428       0.4714    
56       160.4373     -369.1393    -97.6149     175.1435     -402.8428    -101.5590    0.7758    
57       4.8213       -6.7645      6.8607       -1.4290      1.7761       -1.7821      0.9060    
58       -2.0957      -8.5519      7.2430       0.3373       2.5695       -1.8408      0.9555    
59       14.6803      1.8671       -7.1385      54.2657      -2.5449      -24.8070     0.7771    
60       8.1293       3.6750       -4.2729      5.1091       -4.0430      8.2154       0.4974    
61       5.9147       -2.3153      -5.9265      -4.2180      1.5186       1.8924       0.1910    
62       -7.1652      3.6398       -7.4487      2.2727       -0.8240      2.3815       0.1764    
63       8.0051       -1.9472      -2.4102      -3.6576      1.0460       0.1947       0.7780    
